"Time","PM2.5","PM10"
"21/03/2026, 13:00:00",30.4 μg/m³,33.2 μg/m³
"21/03/2026, 16:00:00",27.4 μg/m³,28.5 μg/m³
"21/03/2026, 19:00:00",33.2 μg/m³,37.3 μg/m³
"21/03/2026, 22:00:00",40.4 μg/m³,48.1 μg/m³
"22/03/2026, 01:00:00",41.4 μg/m³,49.6 μg/m³
"22/03/2026, 04:00:00",42.5 μg/m³,51.1 μg/m³
"22/03/2026, 07:00:00",47.2 μg/m³,57.6 μg/m³
"22/03/2026, 10:00:00",28.6 μg/m³,30.5 μg/m³
"22/03/2026, 13:00:00",24.5 μg/m³,26.8 μg/m³
"22/03/2026, 16:00:00",45.7 μg/m³,56.0 μg/m³
"22/03/2026, 19:00:00",51.6 μg/m³,63.4 μg/m³
"22/03/2026, 22:00:00",34.9 μg/m³,40.0 μg/m³
"23/03/2026, 01:00:00",33.2 μg/m³,37.3 μg/m³
"23/03/2026, 04:00:00",37.8 μg/m³,44.2 μg/m³
"23/03/2026, 07:00:00",42.1 μg/m³,50.3 μg/m³
"23/03/2026, 10:00:00",38.1 μg/m³,45.0 μg/m³
"23/03/2026, 13:00:00",39.5 μg/m³,47.0 μg/m³
"23/03/2026, 16:00:00",40.4 μg/m³,48.4 μg/m³
"23/03/2026, 19:00:00",45.9 μg/m³,56.1 μg/m³
"23/03/2026, 22:00:00",45.8 μg/m³,55.4 μg/m³
"24/03/2026, 01:00:00",45.2 μg/m³,54.6 μg/m³
"24/03/2026, 04:00:00",45.2 μg/m³,54.4 μg/m³
"24/03/2026, 07:00:00",47.8 μg/m³,58.1 μg/m³
"24/03/2026, 10:00:00",44.8 μg/m³,54.0 μg/m³
"24/03/2026, 13:00:00",36.8 μg/m³,43.0 μg/m³
"24/03/2026, 16:00:00",34.5 μg/m³,39.3 μg/m³
"24/03/2026, 19:00:00",39.7 μg/m³,46.7 μg/m³
"24/03/2026, 22:00:00",45.0 μg/m³,54.3 μg/m³
"25/03/2026, 01:00:00",46.2 μg/m³,56.1 μg/m³
"25/03/2026, 04:00:00",37.8 μg/m³,44.1 μg/m³
"25/03/2026, 07:00:00",33.5 μg/m³,37.7 μg/m³
"25/03/2026, 10:00:00",,
"25/03/2026, 13:00:00",,
"25/03/2026, 16:00:00",,
"25/03/2026, 19:00:00",,
"25/03/2026, 22:00:00",,
"26/03/2026, 01:00:00",,
"26/03/2026, 04:00:00",,
"26/03/2026, 07:00:00",8.35 μg/m³,8.88 μg/m³
"26/03/2026, 10:00:00",10.6 μg/m³,11.5 μg/m³
"26/03/2026, 13:00:00",6.69 μg/m³,7.23 μg/m³
"26/03/2026, 16:00:00",6.92 μg/m³,7.32 μg/m³
"26/03/2026, 19:00:00",5.45 μg/m³,5.94 μg/m³
"26/03/2026, 22:00:00",5.07 μg/m³,5.55 μg/m³
"27/03/2026, 01:00:00",1.34 μg/m³,1.65 μg/m³
"27/03/2026, 04:00:00",2.43 μg/m³,2.89 μg/m³
"27/03/2026, 07:00:00",4.03 μg/m³,4.66 μg/m³
"27/03/2026, 10:00:00",5.45 μg/m³,6.61 μg/m³
"27/03/2026, 13:00:00",5.69 μg/m³,6.76 μg/m³
"27/03/2026, 16:00:00",5.61 μg/m³,6.48 μg/m³
"27/03/2026, 19:00:00",18.2 μg/m³,20.8 μg/m³
"27/03/2026, 22:00:00",18.4 μg/m³,19.5 μg/m³
"28/03/2026, 01:00:00",15.3 μg/m³,16.2 μg/m³
"28/03/2026, 04:00:00",12.1 μg/m³,12.7 μg/m³
"28/03/2026, 07:00:00",10.6 μg/m³,11.2 μg/m³
"28/03/2026, 10:00:00",5.50 μg/m³,5.90 μg/m³
"28/03/2026, 13:00:00",5.95 μg/m³,7.18 μg/m³
"28/03/2026, 16:00:00",3.14 μg/m³,4.46 μg/m³
"28/03/2026, 19:00:00",6.59 μg/m³,7.70 μg/m³
"28/03/2026, 22:00:00",2.74 μg/m³,3.10 μg/m³
"29/03/2026, 01:00:00",5.44 μg/m³,6.11 μg/m³
"29/03/2026, 05:00:00",13.2 μg/m³,14.3 μg/m³
"29/03/2026, 08:00:00",4.55 μg/m³,5.23 μg/m³
"29/03/2026, 11:00:00",1.65 μg/m³,1.78 μg/m³
"29/03/2026, 14:00:00",1.48 μg/m³,1.75 μg/m³
"29/03/2026, 17:00:00",5.38 μg/m³,6.41 μg/m³
