"Time","Temperatura","Humedad","Punto de Rocio"
"21/03/2026, 13:00:00",20.5,57.8,12.2
"21/03/2026, 15:00:00",19.5,59.9,11.7
"21/03/2026, 17:00:00",18.2,59.6,10.3
"21/03/2026, 19:00:00",14.8,73.8,10.2
"21/03/2026, 21:00:00",13.0,82.0,10.0
"21/03/2026, 23:00:00",11.4,86.6,9.22
"22/03/2026, 01:00:00",11.4,86.7,9.24
"22/03/2026, 03:00:00",11.0,86.7,8.84
"22/03/2026, 05:00:00",10.3,85.5,7.94
"22/03/2026, 07:00:00",10.5,83.2,7.67
"22/03/2026, 09:00:00",14.2,71.8,9.12
"22/03/2026, 11:00:00",17.3,59.8,9.50
"22/03/2026, 13:00:00",17.9,56.7,9.30
"22/03/2026, 15:00:00",17.2,62.2,10.0
"22/03/2026, 17:00:00",16.0,68.7,10.3
"22/03/2026, 19:00:00",14.4,77.9,10.6
"22/03/2026, 21:00:00",13.5,79.7,10.0
"22/03/2026, 23:00:00",13.0,76.2,8.82
"23/03/2026, 01:00:00",12.4,71.3,7.22
"23/03/2026, 03:00:00",11.0,74.2,6.50
"23/03/2026, 05:00:00",10.4,76.9,6.40
"23/03/2026, 07:00:00",10.8,76.7,6.73
"23/03/2026, 09:00:00",13.1,69.4,7.54
"23/03/2026, 11:00:00",14.6,64.6,7.99
"23/03/2026, 13:00:00",17.3,55.5,8.39
"23/03/2026, 15:00:00",17.9,58.5,9.75
"23/03/2026, 17:00:00",16.3,67.2,10.2
"23/03/2026, 19:00:00",13.9,77.7,10.0
"23/03/2026, 21:00:00",12.0,82.4,9.08
"23/03/2026, 23:00:00",10.3,84.7,7.80
"24/03/2026, 01:00:00",8.69,86.0,6.39
"24/03/2026, 03:00:00",7.88,85.0,5.41
"24/03/2026, 05:00:00",6.69,86.1,4.42
"24/03/2026, 07:00:00",8.69,77.6,4.84
"24/03/2026, 09:00:00",14.5,59.1,6.49
"24/03/2026, 11:00:00",17.6,56.5,8.88
"24/03/2026, 13:00:00",17.5,67.7,11.5
"24/03/2026, 15:00:00",17.7,68.4,11.9
